timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743787535072,214,Scn-1_Stp-05_ClickOnProduct,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-31,text,true,,4230,662,17,17,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-FW-01,214,0,0
1743787532344,218,Scn-1_Stp-05_ClickOnProduct,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-32,,true,,3963,662,17,17,null,0,3328,0
1743787535671,218,Scn-1_Stp-05_ClickOnProduct,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-32,text,true,,3963,662,17,17,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-02,218,0,0
1743787532228,656,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-41,,true,,5664,525,17,17,null,0,3023,436
1743787535251,656,Scn-1_Stp-01_EnterURLandClickOnEnterTheStore,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-41,text,true,,5664,525,17,17,https://petstore.octoperf.com/actions/Catalog.action,656,0,436
1743787532664,218,Scn-1_Stp-03_EnterTheCredentialAndClickOnLoginButton,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-38,,true,,230,999,17,17,null,0,3108,0
1743787535772,218,Scn-1_Stp-03_EnterTheCredentialAndClickOnLoginButton,302,,Scenario-1_ShoppingFish_Open Model Thread Group 1-38,,true,,230,999,17,17,https://petstore.octoperf.com/actions/Account.action,218,0,0
1743787532499,215,Scn-1_Stp-08_EnterPaymentDetailsAndClickPayment,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-29,,true,,4665,1268,17,17,null,0,3342,0
1743787535840,215,Scn-1_Stp-08_EnterPaymentDetailsAndClickPayment,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-29,text,true,,4665,1268,17,17,https://petstore.octoperf.com/actions/Order.action,215,0,0
1743787532875,217,Scn-1_Stp-04_ClickOnProductCatalog,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-34,,true,,4065,630,17,17,null,0,3151,0
1743787536025,217,Scn-1_Stp-04_ClickOnProductCatalog,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-34,text,true,,4065,630,17,17,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,217,0,0
1743787532938,214,Scn-1_Stp-07_ClickOnProceedToCheckOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-30,,true,,5617,644,17,17,null,0,3356,0
1743787536294,214,Scn-1_Stp-07_ClickOnProceedToCheckOut,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-30,text,true,,5617,644,17,17,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,214,0,0
1743787533022,221,Scn-1_Stp-03_EnterTheCredentialAndClickOnLoginButton,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-39,,true,,230,1020,17,17,null,0,3446,0
1743787536468,221,Scn-1_Stp-03_EnterTheCredentialAndClickOnLoginButton,302,,Scenario-1_ShoppingFish_Open Model Thread Group 1-39,,true,,230,1020,17,17,https://petstore.octoperf.com/actions/Account.action,221,0,0
1743787533540,214,Scn-1_Stp-04_ClickOnProductCatalog,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-37,,true,,4065,630,17,17,null,0,3077,0
1743787536616,214,Scn-1_Stp-04_ClickOnProductCatalog,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-37,text,true,,4065,630,17,17,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,214,0,0
1743787533252,217,Scn-1_Stp-04_ClickOnProductCatalog,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-35,,true,,4065,630,17,17,null,0,3430,0
1743787536682,217,Scn-1_Stp-04_ClickOnProductCatalog,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-35,text,true,,4065,630,17,17,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,217,0,0
1743787533590,215,Scn-1_Stp-04_ClickOnProductCatalog,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-36,,true,,4124,630,17,17,null,0,3172,0
1743787536762,215,Scn-1_Stp-04_ClickOnProductCatalog,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-36,text,true,,4124,630,17,17,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=FISH,215,0,0
1743787533777,421,Scn-1_Stp-10_ClickOnSignOut,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario-1_ShoppingFish_Open Model Thread Group 1-27,,true,,5278,1255,19,19,null,0,3031,0
1743787536808,421,Scn-1_Stp-10_ClickOnSignOut,200,,Scenario-1_ShoppingFish_Open Model Thread Group 1-27,text,true,,5278,1255,19,19,https://petstore.octoperf.com/actions/Catalog.action,211,0,0
1743787536808,211,Scn-1_Stp-10_ClickOnSignOut-0,302,,Scenario-1_ShoppingFish_Open Model Thread Group 1-27,,true,,230,632,19,19,https://petstore.octoperf.com/actions/Account.action?signoff=,211,0,0
